"DEP_total_affect_binary"	"GEN_pcode"	"GEN_district"	"GEN_date"	"RAIN_at_day"	"RAIN_1day_before_cumulative"	"RAIN_2days_before_cumulative"	"RAIN_3days_before_cumulative"	"RAIN_4days_before_cumulative"
"1"	"1"	NA	"MOYO"	2008-10-07	0.19741587	0.29046177	0.3071626075	0.7201507575	1.0382769825
"2"	"1"	NA	"MOYO"	2008-11-10	0.0809331416666667	0.195926058333333	0.287117638333333	0.555401738333333	0.577132938333333
"3"	"0"	NA	"MOYO"	2009-09-20	0	0.1087806	0.6206609	0.7255521	0.75043309
"4"	"1"	NA	"MOYO"	2011-02-01	0.1578218	0.1578218	0.1578218	0.1578218	0.1578218
"5"	"1"	NA	"MOYO"	2011-08-01	0.13820523	0.13820523	0.58356513	1.41967383	1.79930026
"6"	"1"	NA	"MOYO"	2011-09-12	0.072432	0.53261108	0.71445914	1.08157406	1.362214572
"7"	"1"	NA	"MOYO"	2014-04-13	0.2578729	0.4665597	0.5763567	0.5763567	0.5763567
"8"	"1"	NA	"MOYO"	2014-11-11	0	0	0.1108249	0.1108249	0.20043629
"9"	"1"	NA	"MOYO"	2014-11-27	0.538658625	0.538658625	0.6811762075	1.0595279825	1.3853228325
"10"	"1"	NA	"MOYO"	2017-11-20	0	0	0	0	0
"11"	"0"	NA	"SIRONKO"	2002-06-01	0	0	0	0	0
"12"	"1"	NA	"SIRONKO"	2007-07-30	42.5804171	67.9073944	81.7088744	94.8400764	102.5119314
"13"	"1"	NA	"SIRONKO"	2007-08-08	22.68381138	22.68381138	22.68381138	22.68381138	22.68381138
"14"	"0"	NA	"SIRONKO"	2007-08-31	13.4810122	15.0041505	24.7952215	32.3461527	37.686539
"15"	"1"	NA	"SIRONKO"	2007-09-28	36.9739092	36.9739092	36.9739092	39.3122351	50.8375792
"16"	"1"	NA	"SIRONKO"	2008-06-02	4.9691133	6.4251319	11.2085469	18.8049433	49.9864643
"17"	"1"	NA	"SIRONKO"	2010-03-15	0	0	0	0	0
"18"	"1"	NA	"SIRONKO"	2010-05-14	26.17339916	38.24557438	59.86380998	80.54503748	85.87777368
"19"	"1"	NA	"SIRONKO"	2010-05-25	0	25.192464	25.192464	34.1266563	35.3064113
"20"	"1"	NA	"SIRONKO"	2011-09-16	6.52173685454545	14.2882030363636	17.4792043454545	18.6084005534545	20.6876998385455
"21"	"1"	NA	"SIRONKO"	2013-11-01	0.486297511111111	0.486297511111111	1.78512371111111	22.0776695444444	22.4845786777778
"22"	"1"	NA	"SIRONKO"	2013-11-10	23.436258	24.9213627	26.3678079	26.3678079	26.3678079
"23"	"1"	NA	"SIRONKO"	2014-06-04	11.904319755	11.904319755	27.746983215	34.035312115	39.117631115
"24"	"1"	NA	"SIRONKO"	2016-01-04	0	0	0	0	0
"25"	"1"	NA	"SIRONKO"	2016-05-16	1.72914745714286	10.0914516	16.2455016028571	24.0884208	36.8992989714286
"26"	"1"	NA	"SIRONKO"	2016-11-02	2.207988071	2.207988071	2.207988071	2.207988071	2.207988071
"27"	"1"	NA	"SOROTI"	2007-09-15	0.6746007	2.9702941	5.97184957	6.31646787	9.04662597
"28"	"1"	NA	"SOROTI"	2008-06-02	5.0167073	5.2600274	6.1385052	6.9917063	8.4520643
"29"	"1"	NA	"SOROTI"	2010-11-06	0.0163662	0.07234403	0.34692553	0.348934863	2.267370563
"30"	"0"	NA	"SOROTI"	2011-03-27	0.6327885	0.65029527	0.65029527	0.87456897	1.88765397
"31"	"1"	NA	"SOROTI"	2011-09-07	0.772935	1.912103	3.6134148	4.8657093	6.953614
"32"	"1"	NA	"SOROTI"	2011-10-02	0.30966481	0.57232901	2.65193851	3.25247911	3.28067069
"33"	"0"	NA	"SOROTI"	2012-08-02	0.2063475	0.9165293	1.1734553	1.5634162	3.4426035
"34"	"0"	NA	"SOROTI"	2012-08-27	3.213511	3.28770747	4.09287627	5.71904627	5.91842267
"35"	"0"	NA	"SOROTI"	2012-09-30	1.3965513	1.8170515	2.1235212	2.7136636	4.2517378
"36"	"1"	NA	"SOROTI"	2013-05-06	4.8544817	5.4803276	5.7387026	8.0063724	8.6585983
"37"	"1"	NA	"SOROTI"	2013-09-02	0.9358993	1.8236952	2.2264603	3.7893123	3.7893123
"38"	"1"	NA	"SOROTI"	2015-12-09	0.1484481	1.4686921	1.7361746	2.6498537	3.0237271
