Region;Zone;Woreda;Pcode;Belg_2010;Kiremt_2010;Kiremt_2011;Kiremt_2012;Belg_2013;Kiremt_2013;Belg_2014;Kiremt_2014;Kiremt_2015;Belg_2016;Kiremt_2016;Kiremt_2017;Belg_2018;Frequency;Affected_pop
Somali;Fafan;Gursum;ET050202;;;;;;;;;;;;; 715 ;1; 715 
SNNPR;Gamo Gofa;Denibu Gofa;ET071002;;1;;;;;;;;;;; 17 ;2; 9 
Oromia;East Shewa;Bora;ET040710;;2,400;;;;;;;1; 1 ;1; 1 ; 245 ;6; 442 
SNNPR;Selti;Alicho weriro;ET072001;;;;;;;;;;;;;1268;; 1,268 
SNNPR;Selti;Selti;ET072002;;;;;;;;;1; 4,000 ; 8,497 ;;1630;4; 3,532 
SNNPR;Gurage;Meskan;ET070106;;;;;;;;;1;; 4,140 ;;2998;3; 2,380 
Oromia;Borena;Arero;ET041208;;;;;;;;;;; 835 ;; 583 ;2; 709 
Oromia;Arsi;Sude;ET040808;;;;;;;;;;;;; 633 ;1; 633 
Somali;Nogob;Gerbo;ET050403;;;;;;;;;;;;; 638 ;1; 638 
Somali;Afder;Dolobay;ET050808;;; 1 ; 1 ;;; 8,250 ;1;1;;1;; 776 ;7; 1,290 
Oromia;West Harerge;Doba;ET040902;;;;;;;;;;;;; 77 ;1; 77 
Somali;Afder;Hargele;ET0508061;;;; 1 ;; 1 ; 8,965 ;1;1;;1;; 8,899 ;7; 2,553 
Oromia;West Harerge;Mesela;ET040904; 35,317 ;;;;;;;;;;;;88;2; 17,703 
Oromia;East Harareg;Girawa;ET041016;;;;;;;;;;; 18,085 ;;1023;2; 9,554 
Tigray;Eastern;Atsbi Wenberta;ET010307;;;;;;;;;;;; 1 ; 1,320 ;2; 661 
Somali;Afder;Chereti/Weyib;ET050802;;; 667 ; 1 ;;;;;1;;1;; 1,529 ;5; 440 
Somali;Afder;Raso;ET050884;;;;;;;;;;;;; 1,617 ;1; 1,617 
Amahra;North Shewa(R3);Eferatana Gidem;ET030508;;;;;;;;;1;;1;;159.5;3; 54 
Amahra;West Gojam;Jabi Tehnan;ET030709;;;;;;;;;;;;; 11 ;; 11 
Tigray;Eastern;Erob;ET010302;;;;;;;;;;;;;198;; 198 
SNNPR;Gamo Gofa;Ubadebretsehay;ET071011; 550 ;;;;;;;;;;;; 17 ;2; 283 
Amahra;North Wollo;kobo;ET030302;;37796; 1 ; 5,014 ;;;;;1;;1;; 220 ;6; 7,172 
Somali;Afder;West Imi;ET050805;;; 1 ;;;; 11,616 ;1;1;;1;; 248 ;6; 1,978 
Somali;Liben;Dolo Odo;ET050902;;;;;;; 24,563 ;1;1;;1;; 2,475 ;5; 5,408 
Oromia;Arsi;Tena;ET040813;;;;;;;;;;;;; 248 ;1; 248 
Oromia;Borena;Miyo;ET041216; 600 ;;;;;;;;; 900 ;;; 297 ;3; 599 
