,station,time,dis,dis7
0,G1603,1997-01-02,142.3669,138.75972
1,G1603,1997-01-05,144.3807,143.72052
2,G1603,1997-01-09,152.81651,142.63286
3,G1603,1997-01-12,155.53557,142.97868
4,G1603,1997-01-16,165.64886,170.22008
5,G1603,1997-01-19,159.84084,185.36363
6,G1603,1997-01-23,159.28972,135.7439
7,G1603,1997-01-26,142.32239,139.24823
8,G1603,1997-01-30,167.25786,143.79247
9,G1603,1997-02-02,146.8363,126.3335
10,G1603,1997-02-06,126.1921,113.521324
11,G1603,1997-02-09,112.85363,105.68488
12,G1603,1997-02-13,107.217674,102.61511
13,G1603,1997-02-16,99.32785,95.465324
14,G1603,1997-02-20,94.40813,91.53419
15,G1603,1997-02-23,91.7183,89.3335
16,G1603,1997-02-27,92.4789,96.09741
17,G1603,1997-03-02,106.07588,100.622444
18,G1603,1997-03-06,117.94975,102.49247
19,G1603,1997-03-09,133.35048,141.44728
20,G1603,1997-03-13,108.03165,108.052925
21,G1603,1997-03-16,123.99646,143.79117
22,G1603,1997-03-20,144.99596,148.8781
23,G1603,1997-03-23,166.63698,145.45848
24,G1603,1997-03-27,144.16753,135.54472
25,G1603,1997-03-30,133.51036,172.31807
26,G1603,1997-04-03,187.83536,324.2452
27,G1603,1997-04-06,289.30423,392.80365
28,G1603,1997-04-10,476.90506,457.8864
29,G1603,1997-04-13,234.36916,238.14761
30,G1603,1997-04-17,361.77072,489.74716
31,G1603,1997-04-20,554.308,638.91046
32,G1603,1997-04-24,714.6664,674.6037
33,G1603,1997-04-27,745.7052,547.702
34,G1603,1997-05-01,555.625,412.69467
35,G1603,1997-05-04,573.4121,620.8068
36,G1603,1997-05-08,763.2069,786.0825
37,G1603,1997-05-11,834.3483,864.4313
38,G1603,1997-05-15,948.5938,797.7707
39,G1603,1997-05-18,775.8503,687.51996
40,G1603,1997-05-22,869.2553,867.28156
41,G1603,1997-05-25,963.35596,910.55756
42,G1603,1997-05-29,1073.5289,844.0746
43,G1603,1997-06-01,908.38434,869.7608
44,G1603,1997-06-05,1096.7343,1029.7458
45,G1603,1997-06-08,1304.4637,1105.688
46,G1603,1997-06-12,1190.6799,1166.326
47,G1603,1997-06-15,1440.5737,1545.4856
48,G1603,1997-06-19,1502.4408,1597.8093
49,G1603,1997-06-22,1482.6678,1534.2051
50,G1603,1997-06-26,1367.3994,1326.7701
51,G1603,1997-06-29,1139.2648,1176.0709
52,G1603,1997-07-03,1222.6788,1174.1674
53,G1603,1997-07-06,1152.0972,1071.2085
54,G1603,1997-07-10,1152.2998,1097.8964
55,G1603,1997-07-13,1588.3577,1561.9536
56,G1603,1997-07-17,1315.5381,1263.6162
57,G1603,1997-07-20,1210.7495,1190.8658
58,G1603,1997-07-24,1144.663,1180.4578
59,G1603,1997-07-27,1212.6898,1297.7399
60,G1603,1997-07-31,1363.9537,1423.3336
61,G1603,1997-08-03,1248.3972,1367.5573
62,G1603,1997-08-07,1057.1925,1157.2748
63,G1603,1997-08-10,950.37836,1040.4445
64,G1603,1997-08-14,1021.25195,983.4386
65,G1603,1997-08-17,1088.7203,994.69073
66,G1603,1997-08-21,1045.5121,999.05566
67,G1603,1997-08-24,1208.1813,1117.5187
68,G1603,1997-08-28,1180.1439,1123.3453
69,G1603,1997-08-31,1075.5809,981.76544
70,G1603,1997-09-04,1095.1758,1018.82477
71,G1603,1997-09-07,1109.471,1045.9722
72,G1603,1997-09-11,1084.8746,1079.7153
73,G1603,1997-09-14,1098.2903,1020.6387
74,G1603,1997-09-18,1080.2457,1146.7804
75,G1603,1997-09-21,1136.745,1116.6019
76,G1603,1997-09-25,1060.5299,1004.4815
77,G1603,1997-09-28,1044.5211,933.0151
78,G1603,1997-10-02,959.7353,939.56213
79,G1603,1997-10-05,957.5731,1030.6582
80,G1603,1997-10-09,954.76025,723.2198
81,G1603,1997-10-12,787.85956,769.9638
82,G1603,1997-10-16,1069.0631,1160.4574
83,G1603,1997-10-19,1156.3662,1256.8004
84,G1603,1997-10-23,1300.9397,1572.0396
85,G1603,1997-10-26,1409.4854,1425.984
86,G1603,1997-10-30,1765.7036,1467.6768
87,G1603,1997-11-02,1550.1584,1345.3674
88,G1603,1997-11-06,1301.7605,1227.8522
89,G1603,1997-11-09,1327.2428,1390.1277
90,G1603,1997-11-13,1247.6918,1189.1016
91,G1603,1997-11-16,1176.0537,1046.5294
92,G1603,1997-11-20,859.40356,848.2568
93,G1603,1997-11-23,683.74023,718.40875
94,G1603,1997-11-27,581.1759,534.81305
95,G1603,1997-11-30,574.5354,495.7962
96,G1603,1997-12-04,435.458,461.40744
97,G1603,1997-12-07,416.66833,397.5409
98,G1603,1997-12-11,335.30136,329.0804
99,G1603,1997-12-14,290.34912,277.79755
100,G1603,1997-12-18,279.2049,323.00787
101,G1603,1997-12-21,256.19476,294.0281
102,G1603,1997-12-25,377.64484,400.8821
103,G1603,1997-12-28,309.1846,259.6076
104,G1603,1998-01-02,263.9629,283.47998
105,G1603,1998-01-05,225.34212,232.8856
106,G1603,1998-01-09,270.68207,254.2292
107,G1603,1998-01-12,156.5513,173.4422
108,G1603,1998-01-16,150.096,170.55779
109,G1603,1998-01-19,146.9627,151.85284
110,G1603,1998-01-23,129.68282,127.831505
111,G1603,1998-01-26,130.90895,125.36839
112,G1603,1998-01-30,130.28894,127.28729
113,G1603,1998-02-02,130.82965,125.02573
114,G1603,1998-02-06,138.59999,127.026985
115,G1603,1998-02-09,120.87014,113.52265
116,G1603,1998-02-13,110.98824,107.12103
117,G1603,1998-02-16,106.647995,103.74296
118,G1603,1998-02-20,102.52327,100.517876
119,G1603,1998-02-23,101.14082,101.29273
120,G1603,1998-02-27,101.27921,100.444756
121,G1603,1998-03-02,110.441475,111.15027
122,G1603,1998-03-06,136.03862,117.284615
123,G1603,1998-03-09,148.64995,120.647606
124,G1603,1998-03-13,134.2181,140.93633
125,G1603,1998-03-16,177.09106,223.33778
126,G1603,1998-03-20,251.3042,277.66592
127,G1603,1998-03-23,268.1168,317.3333
128,G1603,1998-03-27,224.38931,164.92957
129,G1603,1998-03-30,175.06464,129.29866
130,G1603,1998-04-03,274.91895,247.60724
131,G1603,1998-04-06,207.50356,218.43274
132,G1603,1998-04-10,103.23396,113.40884
133,G1603,1998-04-13,172.36856,176.34778
134,G1603,1998-04-17,267.9778,450.27182
135,G1603,1998-04-20,279.22458,209.50374
136,G1603,1998-04-24,231.16016,271.311
137,G1603,1998-04-27,264.37314,278.94348
138,G1603,1998-05-01,406.9529,467.89792
139,G1603,1998-05-04,451.70816,436.97824
140,G1603,1998-05-08,502.05115,580.63806
141,G1603,1998-05-11,699.15173,699.2559
142,G1603,1998-05-15,652.79565,532.5249
143,G1603,1998-05-18,554.64703,607.4944
144,G1603,1998-05-22,675.00385,516.4222
145,G1603,1998-05-25,761.55237,589.5894
146,G1603,1998-05-29,624.3294,655.38605
147,G1603,1998-06-01,759.4571,700.2307
148,G1603,1998-06-05,767.70386,817.09534
149,G1603,1998-06-08,1112.1832,1161.0983
150,G1603,1998-06-12,1637.9043,1570.4613
151,G1603,1998-06-15,1205.9965,1316.9368
152,G1603,1998-06-19,1221.6583,1288.8228
153,G1603,1998-06-22,1203.1144,1223.108
154,G1603,1998-06-26,1210.9761,1339.2686
155,G1603,1998-06-29,1206.326,1242.1249
156,G1603,1998-07-03,1280.9602,1232.3656
157,G1603,1998-07-06,995.0985,1026.8646
158,G1603,1998-07-10,920.24664,876.5474
159,G1603,1998-07-13,1018.68567,1073.2338
160,G1603,1998-07-17,1172.581,1017.47186
161,G1603,1998-07-20,1104.3036,1026.5393
162,G1603,1998-07-24,1026.9733,926.4963
163,G1603,1998-07-27,1017.94244,1094.4916
164,G1603,1998-07-31,1378.7479,1484.1755
165,G1603,1998-08-03,1417.1794,1439.1368
166,G1603,1998-08-07,1376.3473,1382.1747
167,G1603,1998-08-10,1384.8134,1217.4753
168,G1603,1998-08-14,1237.6736,1122.5647
169,G1603,1998-08-17,1232.1255,1213.774
170,G1603,1998-08-21,1134.6146,1158.451
171,G1603,1998-08-24,1136.294,1068.3259
172,G1603,1998-08-28,1101.9835,1189.9088
173,G1603,1998-08-31,936.9938,1038.1241
174,G1603,1998-09-04,1256.6681,1168.4292
175,G1603,1998-09-07,1039.2863,1153.8657
176,G1603,1998-09-11,1171.214,1225.9156
177,G1603,1998-09-14,935.49274,996.03485
178,G1603,1998-09-18,1042.1306,1093.218
179,G1603,1998-09-21,1008.50446,1008.12
180,G1603,1998-09-25,1063.5402,1055.784
181,G1603,1998-09-28,1455.9014,1271.3087
182,G1603,1998-10-02,1424.7751,1504.099
183,G1603,1998-10-05,1382.9827,1401.6125
184,G1603,1998-10-09,1371.5944,1409.6047
185,G1603,1998-10-12,1339.1359,1419.671
186,G1603,1998-10-16,1344.2019,1325.6451
187,G1603,1998-10-19,1482.7228,1403.5381
188,G1603,1998-10-23,1448.4689,1282.712
189,G1603,1998-10-26,1241.935,1014.42664
190,G1603,1998-10-30,1128.2411,922.9896
191,G1603,1998-11-02,895.6183,810.1412
192,G1603,1998-11-06,701.5909,688.18274
193,G1603,1998-11-09,701.84906,598.6794
194,G1603,1998-11-13,628.30743,513.52893
195,G1603,1998-11-16,541.07465,436.05798
196,G1603,1998-11-20,413.16095,335.68573
197,G1603,1998-11-23,312.03253,272.4421
198,G1603,1998-11-27,230.40897,213.68164
199,G1603,1998-11-30,191.58037,180.03352
200,G1603,1998-12-04,161.22264,156.38571
201,G1603,1998-12-07,148.8142,148.33064
202,G1603,1998-12-11,129.09569,134.89317
203,G1603,1998-12-14,121.95985,132.5586
204,G1603,1998-12-18,147.29279,142.60039
205,G1603,1998-12-21,133.23717,127.864975
206,G1603,1998-12-25,136.99387,124.982086
207,G1603,1998-12-28,121.78292,114.06869
208,G1603,1999-01-02,106.93511,102.93862
209,G1603,1999-01-05,107.510056,107.13453
210,G1603,1999-01-09,115.40428,118.82112
211,G1603,1999-01-12,236.11412,150.20659
212,G1603,1999-01-16,152.88965,138.44984
213,G1603,1999-01-19,175.6592,142.68782
214,G1603,1999-01-23,165.27287,126.00683
215,G1603,1999-01-26,118.25885,102.07627
216,G1603,1999-01-30,99.348465,88.05274
217,G1603,1999-02-02,86.50496,80.23558
218,G1603,1999-02-06,78.240555,74.393524
219,G1603,1999-02-09,76.75415,74.11192
220,G1603,1999-02-13,89.70991,84.75419
221,G1603,1999-02-16,91.87773,81.92889
222,G1603,1999-02-20,82.225395,76.19049
223,G1603,1999-02-23,86.049644,77.3123
224,G1603,1999-02-27,94.54372,82.89325
225,G1603,1999-03-02,101.72884,82.02113
226,G1603,1999-03-06,84.90078,70.00856
227,G1603,1999-03-09,75.119705,61.624794
228,G1603,1999-03-13,61.007614,53.48416
229,G1603,1999-03-16,53.229294,49.078728
230,G1603,1999-03-20,54.030457,49.75649
231,G1603,1999-03-23,57.39676,51.14024
232,G1603,1999-03-27,56.346138,54.47167
233,G1603,1999-03-30,123.90841,97.26743
234,G1603,1999-04-03,122.10538,103.00513
235,G1603,1999-04-06,130.5356,91.881355
236,G1603,1999-04-10,108.21032,123.60803
237,G1603,1999-04-13,137.12837,115.51331
238,G1603,1999-04-17,225.78288,316.78494
239,G1603,1999-04-20,251.1297,268.99854
240,G1603,1999-04-24,353.4635,486.25427
241,G1603,1999-04-27,485.2902,528.5503
242,G1603,1999-05-01,600.36566,403.4035
243,G1603,1999-05-04,637.2274,564.0082
244,G1603,1999-05-08,608.526,614.2264
245,G1603,1999-05-11,650.311,533.9471
246,G1603,1999-05-15,514.6504,456.2205
247,G1603,1999-05-18,469.0207,435.9524
248,G1603,1999-05-22,422.48175,462.94537
249,G1603,1999-05-25,617.12,631.3172
250,G1603,1999-05-29,648.89667,647.00146
251,G1603,1999-06-01,531.8847,580.5139
252,G1603,1999-06-05,592.5736,540.64954
253,G1603,1999-06-08,631.1902,748.1655
254,G1603,1999-06-12,776.3873,748.2636
255,G1603,1999-06-15,845.3093,920.11426
256,G1603,1999-06-19,914.4975,898.2323
257,G1603,1999-06-22,1181.3022,1206.2094
258,G1603,1999-06-26,1172.1085,1266.7386
259,G1603,1999-06-29,1205.3082,1186.8035
260,G1603,1999-07-03,1042.5015,1172.0819
261,G1603,1999-07-06,926.1448,988.17645
262,G1603,1999-07-10,908.7848,843.37695
263,G1603,1999-07-13,1023.5414,1111.5482
264,G1603,1999-07-17,1001.7396,943.267
265,G1603,1999-07-20,902.0632,1078.3497
266,G1603,1999-07-24,913.1086,1070.6906
267,G1603,1999-07-27,983.5467,1014.2981
268,G1603,1999-07-31,1086.0328,1083.5127
269,G1603,1999-08-03,1069.075,1186.3004
270,G1603,1999-08-07,1262.7211,1323.1003
271,G1603,1999-08-10,1388.778,1378.831
272,G1603,1999-08-14,1463.7201,1433.508
273,G1603,1999-08-17,1150.1852,1093.7443
274,G1603,1999-08-21,1000.84467,952.5442
275,G1603,1999-08-24,1014.5205,1027.9014
276,G1603,1999-08-28,981.9187,898.5057
277,G1603,1999-08-31,905.7565,947.806
278,G1603,1999-09-04,1154.3085,989.20013
279,G1603,1999-09-07,966.5003,920.9814
280,G1603,1999-09-11,983.8365,1018.0865
281,G1603,1999-09-14,1021.1396,1012.42346
282,G1603,1999-09-18,1183.1587,1095.6523
283,G1603,1999-09-21,1116.5876,1210.2463
284,G1603,1999-09-25,1135.9789,1229.5237
285,G1603,1999-09-28,1279.5857,1339.5338
286,G1603,1999-10-02,1289.013,1385.0347
287,G1603,1999-10-05,1466.6945,1468.2385
288,G1603,1999-10-09,1555.0548,1681.2164
289,G1603,1999-10-12,1466.0475,1621.0647
290,G1603,1999-10-16,1437.4637,1364.6401
291,G1603,1999-10-19,1362.7388,1235.8478
292,G1603,1999-10-23,1115.9192,1030.7269
293,G1603,1999-10-26,1111.6134,1013.2958
294,G1603,1999-10-30,891.95306,795.4703
295,G1603,1999-11-02,816.8837,671.3436
296,G1603,1999-11-06,549.3918,493.20605
297,G1603,1999-11-09,446.4127,405.9026
298,G1603,1999-11-13,419.79675,380.82776
299,G1603,1999-11-16,332.6742,296.1398
300,G1603,1999-11-20,240.92387,216.51341
301,G1603,1999-11-23,204.27835,185.63472
302,G1603,1999-11-27,162.5873,182.75418
303,G1603,1999-11-30,191.48749,172.97922
304,G1603,1999-12-04,153.6304,159.30717
305,G1603,1999-12-07,183.56943,189.23523
306,G1603,1999-12-11,160.78581,141.14354
307,G1603,1999-12-14,125.94198,124.48192
308,G1603,1999-12-18,122.92442,122.2289
309,G1603,1999-12-21,137.37976,115.83884
310,G1603,1999-12-25,120.470985,111.888054
311,G1603,1999-12-28,122.94094,109.14653
312,G1603,2000-01-02,102.75759,94.53205
313,G1603,2000-01-05,98.49663,94.63878
314,G1603,2000-01-09,113.620895,100.23883
