gid;objectid;district_name;county_name;subcounty_name;pcode_district;subcounty_name_alternative;pcode_subcounty
7487;9769;AGAGO;AGAGO;OMIYA PACWA;21UGA001001;;21UGA00100110
1735;3158;AGAGO;AGAGO;PATONGO;21UGA001001;;21UGA00100114
1169;2093;AGAGO;AGAGO;ARUM;21UGA001001;;21UGA00100103
758;2591;AGAGO;AGAGO;LUKOLE;21UGA001001;;21UGA00100109
1320;3061;AGAGO;AGAGO;LAPONO;21UGA001001;;21UGA00100107
7116;3208;AGAGO;AGAGO;WOL;21UGA001001;;21UGA00100116
536;2518;AGAGO;AGAGO;LAMIYO;21UGA001001;;21UGA00100106
578;2427;AGAGO;AGAGO;KOTOMOL;21UGA001001;;21UGA00100105
1940;2914;AGAGO;AGAGO;KALONGO TOWN COUNCIL;21UGA001001;;21UGA00100104
7486;9769;AGAGO;AGAGO;PARABONGO;21UGA001001;;21UGA00100113
856;3123;AGAGO;AGAGO;PATONGO TOWN COUNCIL;21UGA001001;;21UGA00100115
1088;9766;AGAGO;AGAGO;PAIMOL;21UGA001001;;21UGA00100112
6945;3050;AGAGO;AGAGO;OMOT;21UGA001001;;21UGA00100111
531;2370;AGAGO;AGAGO;LIRA PALWO;21UGA001001;;21UGA00100108
898;2723;AGAGO;AGAGO;ADILANG;21UGA001001;;21UGA00100101
1193;2491;AGAGO;AGAGO;AGAGO TOWN COUNCIL;21UGA001001;;21UGA00100102
11;1917;AMURU;KILAK;LAMOGI;21UGA001002;;21UGA00100204
75;1968;AMURU;KILAK;ATIAAK;21UGA001002;Attiak;21UGA00100203
6974;3075;AMURU;KILAK;AMURU TOWN COUNCIL;21UGA001002;;21UGA00100202
1166;2932;AMURU;KILAK;AMURU;21UGA001002;;21UGA00100201
116;2993;AMURU;KILAK;PABBO;21UGA001002;Pabo;21UGA00100205
635;2008;GULU;GULU MUNICIPALITY;BAR-DEGE;21UGA001003;Bar Dege Division;21UGA00100302
375;1960;GULU;ASWA;UNYAMA;21UGA001003;;21UGA00100310
3155;3066;GULU;GULU MUNICIPALITY;LAYIBI;21UGA001003;Layibi Division;21UGA00100305
787;2634;GULU;GULU MUNICIPALITY;PECE;21UGA001003;Pece Division;21UGA00100309
1973;2023;GULU;GULU MUNICIPALITY;LAROO;21UGA001003;Laroo Division;21UGA00100304
2819;2781;GULU;ASWA;PAICHO;21UGA001003;;21UGA00100306
878;2710;GULU;ASWA;AWACH;21UGA001003;;21UGA00100301
2161;546;GULU;ASWA;PALARO;21UGA001003;;21UGA00100307
951;2761;GULU;ASWA;BUNGATIRA;21UGA001003;;21UGA00100303
363;2228;GULU;ASWA;PATIKO;21UGA001003;;21UGA00100308
844;2044;KITGUM;CHUA;OROM;21UGA001004;;21UGA00100410
959;2775;KITGUM;CHUA;KITIGUM MATIDI;21UGA001004;;21UGA00100402
4966;2978;KITGUM;CHUA;OMIYA ANYIMA;21UGA001004;;21UGA00100409
1782;3441;KITGUM;CHUA;LABONGO AMIDA;21UGA001004;;21UGA00100404
359;2223;KITGUM;KITGUM MUNICIPALITY;PAGER DIVISION;21UGA001004;;21UGA00100411
2752;2715;KITGUM;KITGUM MUNICIPALITY;PANDWONG DIVISION;21UGA001004;;21UGA00100412
1187;2952;KITGUM;CHUA;MUCWINI;21UGA001004;;21UGA00100407
2169;553;KITGUM;CHUA;LABONGO AKWANG;21UGA001004;;21UGA00100403
34;1932;KITGUM;CHUA;NAMOKORA;21UGA001004;;21UGA00100408
86;1975;KITGUM;KITGUM MUNICIPALITY;CENTRAL DIVISION;21UGA001004;;21UGA00100401
1876;1947;KITGUM;CHUA;LABONGO LAYAMO;21UGA001004;;21UGA00100405
281;2172;KITGUM;CHUA;LAGORO;21UGA001004;;21UGA00100406
7355;2068;LAMWO;LAMWO;PADIBE TOWN COUNCIL;21UGA001005;;21UGA00100506
762;3411;LAMWO;LAMWO;LAMWO TOWN COUNCIL;21UGA001005;;21UGA00100502
1133;3089;LAMWO;LAMWO;PALABEK KAL;21UGA001005;;21UGA00100509
6872;2987;LAMWO;LAMWO;PALABEK OGILI;21UGA001005;;21UGA00100510
955;2767;LAMWO;LAMWO;LOKUNG;21UGA001005;;21UGA00100503
1832;3492;LAMWO;LAMWO;AGORO;21UGA001005;;21UGA00100501
6790;2903;LAMWO;LAMWO;PALABEK GEM;21UGA001005;;21UGA00100508
2836;2797;LAMWO;LAMWO;MADI OPEI;21UGA001005;;21UGA00100504
1632;3341;LAMWO;LAMWO;PALOGA;21UGA001005;;21UGA00100511
1833;3493;LAMWO;LAMWO;PADIBE EAST;21UGA001005;;21UGA00100505
167;2058;LAMWO;LAMWO;PADIBE WEST;21UGA001005;;21UGA00100507
545;2385;NWOYA;NWOYA;ALERO;21UGA001006;;21UGA00100601
628;2471;NWOYA;NWOYA;ANAKA TOWN COUNCIL;21UGA001006;;21UGA00100603
799;2649;NWOYA;NWOYA;KOCH GOMA;21UGA001006;Koch-Goma;21UGA00100604
1087;2854;NWOYA;NWOYA;PURONGO;21UGA001006;;21UGA00100605
4250;3275;NWOYA;NWOYA;ANAKA;21UGA001006;Anaka Payira;21UGA00100602
1375;3102;OMORO;OMORO;ONGAKO;21UGA001007;;21UGA00100707
2655;2624;OMORO;OMORO;LAKWANA;21UGA001007;;21UGA00100703
711;776;OMORO;OMORO;KORO;21UGA001007;;21UGA00100702
297;2192;OMORO;OMORO;BOBI;21UGA001007;;21UGA00100701
3654;3355;OMORO;OMORO;ODEK;21UGA001007;;21UGA00100705
513;2513;OMORO;OMORO;LALOGI;21UGA001007;;21UGA00100704
1085;3034;OMORO;OMORO;OMORO TOWN COUNCIL;21UGA001007;;21UGA00100706
447;2320;PADER;ARUU;PURANGA;21UGA001008;;21UGA00100812
2970;2340;PADER;ARUU;ATANGA;21UGA001008;;21UGA00100803
2523;2509;PADER;ARUU;ANGANGURA;21UGA001008;Angagura;21UGA00100802
1188;2953;PADER;ARUU;LAPUL;21UGA001008;;21UGA00100806
3916;2125;PADER;ARUU;PAJULE;21UGA001008;;21UGA00100811
6735;2851;PADER;ARUU;LATANYA;21UGA001008;;21UGA00100807
3390;2754;PADER;ARUU;PADER TOWN COUNCIL;21UGA001008;;21UGA00100810
1738;3402;PADER;ARUU;LAGUTI;21UGA001008;;21UGA00100805
4848;2879;PADER;ARUU;PADER;21UGA001008;;21UGA00100809
7121;3214;PADER;ARUU;ACHOLI BUR;21UGA001008;Acholibur;21UGA00100801
2699;2670;PADER;ARUU;OGOM;21UGA001008;;21UGA00100808
5253;3233;PADER;ARUU;AWERE;21UGA001008;;21UGA00100804
401;3945;BUHWEJU;BUHWEJU;BITSYA;21UGA002001;;21UGA00200102
314;3840;BUHWEJU;BUHWEJU;BURERE;21UGA002001;;21UGA00200103
260;9771;BUHWEJU;BUHWEJU;BIHANGA;21UGA002001;;21UGA00200101
1190;4709;BUHWEJU;BUHWEJU;RWENGWE;21UGA002001;;21UGA00200108
2468;4206;BUHWEJU;BUHWEJU;NSIIKA TOWN COUNCIL;21UGA002001;;21UGA00200106
3823;3653;BUHWEJU;BUHWEJU;KARUNGU;21UGA002001;;21UGA00200105
505;4048;BUHWEJU;BUHWEJU;NYAKISHANA;21UGA002001;;21UGA00200107
446;3995;BUHWEJU;BUHWEJU;ENGAJU;21UGA002001;;21UGA00200104
1769;5293;BUSHENYI;IGARA;KYAMUHUNGA TOWN COUNCIL;21UGA002002;;21UGA00200209
6917;5276;BUSHENYI;IGARA;BITOOMA;21UGA002002;;21UGA00200201
280;4223;BUSHENYI;IGARA;KYABUGIMBI;21UGA002002;;21UGA00200207
7383;3955;BUSHENYI;BUSHENYI-ISHAKA MUNICIPALITY;NYAKABIRIZI DIVISION;21UGA002002;;21UGA00200212
1934;3612;BUSHENYI;IGARA;BUMBAIRE;21UGA002002;;21UGA00200202
310;3831;BUSHENYI;IGARA;RUHUMURO;21UGA002002;;21UGA00200213
1035;4596;BUSHENYI;BUSHENYI-ISHAKA MUNICIPALITY;CENTRAL DIVISION;21UGA002002;Central Divison;21UGA00200203
487;4031;BUSHENYI;IGARA;KAKANJU;21UGA002002;;21UGA00200206
140;3655;BUSHENYI;IGARA;IBAARE;21UGA002002;;21UGA00200204
335;3618;BUSHENYI;IGARA;NYABUBAARE;21UGA002002;Nyabubare;21UGA00200211
164;4142;BUSHENYI;IGARA;KYAMUHUNGA;21UGA002002;;21UGA00200208
1047;4613;BUSHENYI;BUSHENYI-ISHAKA MUNICIPALITY;ISHAKA DIVISION;21UGA002002;Ishaka Divison;21UGA00200205
